date,airport_arrivals,airport_arrivals_lag1
2013-09-13,55630,55630
2013-09-14,55630,55630
2013-09-15,55630,55630
2013-09-16,55630,55630
2013-09-17,55630,55630
2013-09-18,55630,55630
2013-09-19,55630,55630
2013-09-20,55630,55630
2013-09-21,55630,55630
2013-09-22,55630,55630
2013-09-23,55630,55630
2013-09-24,55630,55630
2013-09-25,55630,55630
2013-09-26,55630,55630
2013-09-27,55630,55630
2013-09-28,55630,55630
2013-09-29,55630,55630
2013-09-30,55630,55630
2013-10-01,55695,55630
2013-10-02,55695,55695
2013-10-03,55695,55695
2013-10-04,55695,55695
2013-10-05,55695,55695
2013-10-06,55695,55695
2013-10-07,55695,55695
2013-10-08,55695,55695
2013-10-09,55695,55695
2013-10-10,55695,55695
2013-10-11,55695,55695
2013-10-12,55695,55695
2013-10-13,55695,55695
2013-10-14,55695,55695
2013-10-15,55695,55695
2013-10-16,55695,55695
2013-10-17,55695,55695
2013-10-18,55695,55695
2013-10-19,55695,55695
2013-10-20,55695,55695
2013-10-21,55695,55695
2013-10-22,55695,55695
2013-10-23,55695,55695
2013-10-24,55695,55695
2013-10-25,55695,55695
2013-10-26,55695,55695
2013-10-27,55695,55695
2013-10-28,55695,55695
2013-10-29,55695,55695
2013-10-30,55695,55695
2013-10-31,55695,55695
2013-11-01,55695,55695
2013-11-02,55695,55695
2013-11-03,55695,55695
2013-11-04,55695,55695
2013-11-05,55695,55695
2013-11-06,55695,55695
2013-11-07,55695,55695
2013-11-08,55695,55695
2013-11-09,55695,55695
2013-11-10,55695,55695
2013-11-11,55695,55695
2013-11-12,55695,55695
2013-11-13,55695,55695
2013-11-14,55695,55695
2013-11-15,55695,55695
2013-11-16,55695,55695
2013-11-17,55695,55695
2013-11-18,55695,55695
2013-11-19,55695,55695
2013-11-20,55695,55695
2013-11-21,55695,55695
2013-11-22,55695,55695
2013-11-23,55695,55695
2013-11-24,55695,55695
2013-11-25,55695,55695
2013-11-26,55695,55695
2013-11-27,55695,55695
