date,cruise_ship_flag,ships_in_port_count,cruise_passenger_estimate
2028-04-10,1,1,2000
2028-04-17,1,1,2000
2028-04-22,1,1,2000
2028-04-25,1,1,2000
2028-04-29,1,1,2000
2028-05-01,1,1,2000
2028-05-04,1,1,2000
2028-05-19,1,1,2000
2028-05-22,1,1,2000
2028-05-23,1,1,2000
2028-05-27,1,1,2000
2028-05-28,1,1,2000
2028-05-30,1,1,2000
2028-05-31,1,1,2000
2028-06-04,1,1,2000
2028-06-05,1,1,2000
2028-06-11,1,1,2000
2028-06-25,1,1,2000
2028-06-26,1,1,2000
2028-06-28,1,1,2000
2028-06-29,1,1,2000
2028-07-04,1,1,2000
2028-07-10,1,1,2000
2028-07-12,1,1,2000
2028-07-16,1,1,2000
2028-07-18,1,1,2000
2028-07-29,1,1,2000
2028-07-31,1,1,2000
2028-08-01,1,1,2000
2028-08-16,1,1,2000
2028-08-18,1,1,2000
2028-08-20,1,1,2000
2028-08-21,1,1,2000
2028-08-30,1,1,2000
2028-08-31,1,1,2000
2028-09-02,1,1,2000
2028-09-03,1,1,2000
2028-09-05,1,1,2000
2028-09-06,1,1,2000
2028-09-14,1,1,2000
2028-09-15,1,1,2000
2028-09-16,1,1,2000
2028-09-21,1,1,2000
2028-09-28,1,1,2000
2029-06-24,1,1,2000
